product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,product_name,category,brand,criticality_level,stock_vs_reorder,stock_vs_max,inventory_status
P010,HYD001,171,62,46,307,110225,F12,Turbocharger TB-900,Engine,CAT,High,110163,109918,Overstock
P010,KOL001,179,61,46,294,100989,A13,Turbocharger TB-900,Engine,CAT,High,100928,100695,Overstock
P010,AHM001,128,43,27,245,115149,C09,Turbocharger TB-900,Engine,CAT,High,115106,114904,Overstock
P011,DEL001,243,85,64,369,112300,B01,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,112215,111931,Overstock
P011,PUN001,86,31,20,138,108691,F06,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,108660,108553,Overstock
P011,CHN001,155,50,32,233,110667,E15,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,110617,110434,Overstock
P011,HYD001,148,46,41,244,107771,B01,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,107725,107527,Overstock
P011,KOL001,300,113,68,582,109669,B08,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,109556,109087,Overstock
P011,AHM001,211,66,50,410,101291,D13,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,High,101225,100881,Overstock
P012,DEL001,257,98,67,489,119923,D13,Brake Pad BP-40,Brakes,JCB,Medium,119825,119434,Overstock
P012,PUN001,177,68,52,308,112603,B05,Brake Pad BP-40,Brakes,JCB,Medium,112535,112295,Overstock
P012,CHN001,155,54,32,274,107886,A16,Brake Pad BP-40,Brakes,JCB,Medium,107832,107612,Overstock
P012,HYD001,128,42,28,241,106209,F04,Brake Pad BP-40,Brakes,JCB,Medium,106167,105968,Overstock
P012,KOL001,188,67,51,368,109625,F17,Brake Pad BP-40,Brakes,JCB,Medium,109558,109257,Overstock
P012,AHM001,103,32,24,156,106861,F11,Brake Pad BP-40,Brakes,JCB,Medium,106829,106705,Overstock
P013,DEL001,126,48,27,249,108520,E18,Seal Kit SK-15,Seals,CAT,Medium,108472,108271,Overstock
P013,PUN001,80,25,16,133,104221,F04,Seal Kit SK-15,Seals,CAT,Medium,104196,104088,Overstock
P013,CHN001,156,56,45,307,106476,D08,Seal Kit SK-15,Seals,CAT,Medium,106420,106169,Overstock
P013,HYD001,233,86,52,412,111295,D06,Seal Kit SK-15,Seals,CAT,Medium,111209,110883,Overstock
P013,KOL001,129,44,26,233,105381,F03,Seal Kit SK-15,Seals,CAT,Medium,105337,105148,Overstock
P013,AHM001,84,25,22,150,98687,E04,Seal Kit SK-15,Seals,CAT,Medium,98662,98537,Overstock
P014,DEL001,203,72,44,384,111321,B15,Transmission Assembly TA-800,Transmission,Volvo,High,111249,110937,Overstock
P014,PUN001,87,33,20,164,113386,E17,Transmission Assembly TA-800,Transmission,Volvo,High,113353,113222,Overstock
P014,CHN001,157,60,40,303,114302,F14,Transmission Assembly TA-800,Transmission,Volvo,High,114242,113999,Overstock
P014,HYD001,200,71,50,377,111315,C17,Transmission Assembly TA-800,Transmission,Volvo,High,111244,110938,Overstock
P014,KOL001,268,106,60,519,105994,D06,Transmission Assembly TA-800,Transmission,Volvo,High,105888,105475,Overstock
P014,AHM001,108,32,27,171,105345,E07,Transmission Assembly TA-800,Transmission,Volvo,High,105313,105174,Overstock
P015,DEL001,223,75,60,387,100967,E12,Engine Block EB-600,Engine,Komatsu,High,100892,100580,Overstock
P015,PUN001,134,43,34,210,106048,A13,Engine Block EB-600,Engine,Komatsu,High,106005,105838,Overstock
P015,CHN001,239,91,57,370,113851,C20,Engine Block EB-600,Engine,Komatsu,High,113760,113481,Overstock
P015,HYD001,149,56,43,226,110035,A16,Engine Block EB-600,Engine,Komatsu,High,109979,109809,Overstock
P015,KOL001,292,116,81,508,96547,B18,Engine Block EB-600,Engine,Komatsu,High,96431,96039,Overstock
P015,AHM001,85,28,24,131,105135,A13,Engine Block EB-600,Engine,Komatsu,High,105107,105004,Overstock
P016,DEL001,242,84,66,434,104189,A02,Radiator RD-250,Cooling,JCB,Medium,104105,103755,Overstock
P016,PUN001,217,74,47,371,103006,A07,Radiator RD-250,Cooling,JCB,Medium,102932,102635,Overstock
P016,CHN001,180,71,45,309,112003,C19,Radiator RD-250,Cooling,JCB,Medium,111932,111694,Overstock
P016,HYD001,103,35,24,177,106040,A01,Radiator RD-250,Cooling,JCB,Medium,106005,105863,Overstock
P016,KOL001,148,49,32,277,97829,D04,Radiator RD-250,Cooling,JCB,Medium,97780,97552,Overstock
P016,AHM001,95,33,25,164,110893,D04,Radiator RD-250,Cooling,JCB,Medium,110860,110729,Overstock
P017,DEL001,243,93,72,479,112971,B15,Fan Belt FB-30,Belts,Tata Hitachi,Medium,112878,112492,Overstock
P017,PUN001,206,63,56,331,104847,F06,Fan Belt FB-30,Belts,Tata Hitachi,Medium,104784,104516,Overstock
P017,CHN001,178,59,45,300,106266,C15,Fan Belt FB-30,Belts,Tata Hitachi,Medium,106207,105966,Overstock
P017,HYD001,88,26,23,172,117058,F05,Fan Belt FB-30,Belts,Tata Hitachi,Medium,117032,116886,Overstock
P017,KOL001,208,72,56,344,108003,B06,Fan Belt FB-30,Belts,Tata Hitachi,Medium,107931,107659,Overstock
P017,AHM001,276,99,82,542,109921,E01,Fan Belt FB-30,Belts,Tata Hitachi,Medium,109822,109379,Overstock
P018,DEL001,282,106,74,508,114627,D12,Wheel Rim WR-24,Undercarriage,CAT,High,114521,114119,Overstock
P018,PUN001,155,55,41,293,111530,A10,Wheel Rim WR-24,Undercarriage,CAT,High,111475,111237,Overstock
P018,CHN001,283,98,74,564,113318,A15,Wheel Rim WR-24,Undercarriage,CAT,High,113220,112754,Overstock
P018,HYD001,210,78,58,322,112953,E13,Wheel Rim WR-24,Undercarriage,CAT,High,112875,112631,Overstock
P018,KOL001,161,59,42,284,96607,B03,Wheel Rim WR-24,Undercarriage,CAT,High,96548,96323,Overstock
P018,AHM001,262,89,64,438,101420,F08,Wheel Rim WR-24,Undercarriage,CAT,High,101331,100982,Overstock
P019,DEL001,125,37,27,208,118200,D07,Swing Motor SWM-350,Hydraulic,Volvo,High,118163,117992,Overstock
P019,PUN001,116,36,27,207,109388,C04,Swing Motor SWM-350,Hydraulic,Volvo,High,109352,109181,Overstock
P019,CHN001,287,86,66,566,100413,D20,Swing Motor SWM-350,Hydraulic,Volvo,High,100327,99847,Overstock
P019,HYD001,209,81,49,350,100008,D17,Swing Motor SWM-350,Hydraulic,Volvo,High,99927,99658,Overstock
P019,KOL001,92,30,22,141,88853,E11,Swing Motor SWM-350,Hydraulic,Volvo,High,88823,88712,Overstock
P019,AHM001,217,85,46,378,105387,A03,Swing Motor SWM-350,Hydraulic,Volvo,High,105302,105009,Overstock
P020,DEL001,91,31,24,140,104360,A07,Pivot Pin PP-12,Pins & Bushes,JCB,Medium,104329,104220,Overstock
P020,PUN001,80,24,16,140,102734,E12,Pivot Pin PP-12,Pins & Bushes,JCB,Medium,102710,102594,Overstock
P020,CHN001,300,105,84,454,113260,F01,Pivot Pin PP-12,Pins & Bushes,JCB,Medium,113155,112806,Overstock
P020,HYD001,161,64,46,273,102636,A15,Pivot Pin PP-12,Pins & Bushes,JCB,Medium,102572,102363,Overstock
P020,KOL001,182,61,53,355,99570,D07,Pivot Pin PP-12,Pins & Bushes,JCB,Medium,99509,99215,Overstock
P020,AHM001,142,54,28,270,102706,F16,Pivot Pin PP-12,Pins & Bushes,JCB,Medium,102652,102436,Overstock
P021,DEL001,152,59,40,257,115902,F08,Boom Cylinder BC-400,Hydraulic,Komatsu,High,115843,115645,Overstock
P021,PUN001,159,59,32,287,105385,C11,Boom Cylinder BC-400,Hydraulic,Komatsu,High,105326,105098,Overstock
P021,CHN001,189,71,40,319,100867,C11,Boom Cylinder BC-400,Hydraulic,Komatsu,High,100796,100548,Overstock
P021,HYD001,153,56,36,263,99466,F08,Boom Cylinder BC-400,Hydraulic,Komatsu,High,99410,99203,Overstock
P021,KOL001,280,102,69,485,100829,C14,Boom Cylinder BC-400,Hydraulic,Komatsu,High,100727,100344,Overstock
P021,AHM001,293,110,60,554,108168,E10,Boom Cylinder BC-400,Hydraulic,Komatsu,High,108058,107614,Overstock
P022,DEL001,187,68,41,315,110752,E20,Control Valve CV-75,Hydraulic,CAT,High,110684,110437,Overstock
P022,PUN001,299,119,60,487,111353,B16,Control Valve CV-75,Hydraulic,CAT,High,111234,110866,Overstock
P022,CHN001,138,44,31,227,109061,A02,Control Valve CV-75,Hydraulic,CAT,High,109017,108834,Overstock
P022,HYD001,140,46,33,226,112997,F19,Control Valve CV-75,Hydraulic,CAT,High,112951,112771,Overstock
P022,KOL001,265,105,65,513,99690,A01,Control Valve CV-75,Hydraulic,CAT,High,99585,99177,Overstock
P022,AHM001,156,54,37,254,103495,E03,Control Valve CV-75,Hydraulic,CAT,High,103441,103241,Overstock
P023,DEL001,186,73,49,313,113718,B18,Idler Wheel IW-55,Undercarriage,Volvo,High,113645,113405,Overstock
P023,PUN001,115,40,26,198,108328,A10,Idler Wheel IW-55,Undercarriage,Volvo,High,108288,108130,Overstock
P023,CHN001,149,53,40,231,107267,B12,Idler Wheel IW-55,Undercarriage,Volvo,High,107214,107036,Overstock
P023,HYD001,82,31,16,134,105798,C14,Idler Wheel IW-55,Undercarriage,Volvo,High,105767,105664,Overstock
P023,KOL001,141,49,30,273,111851,D12,Idler Wheel IW-55,Undercarriage,Volvo,High,111802,111578,Overstock
P023,AHM001,238,90,50,434,114558,B10,Idler Wheel IW-55,Undercarriage,Volvo,High,114468,114124,Overstock
P024,DEL001,280,99,56,469,116412,A17,Track Roller TR-60,Undercarriage,Tata Hitachi,High,116313,115943,Overstock
P024,PUN001,128,41,31,232,110555,C02,Track Roller TR-60,Undercarriage,Tata Hitachi,High,110514,110323,Overstock
P024,CHN001,119,44,27,204,107215,D14,Track Roller TR-60,Undercarriage,Tata Hitachi,High,107171,107011,Overstock
P024,HYD001,273,86,66,415,101998,A14,Track Roller TR-60,Undercarriage,Tata Hitachi,High,101912,101583,Overstock
P024,KOL001,155,58,38,242,112198,B18,Track Roller TR-60,Undercarriage,Tata Hitachi,High,112140,111956,Overstock
P024,AHM001,268,104,58,425,107810,C07,Track Roller TR-60,Undercarriage,Tata Hitachi,High,107706,107385,Overstock
P025,DEL001,180,54,49,310,109936,F11,Cabin Glass CG-20,Cabin,JCB,Medium,109882,109626,Overstock
P025,PUN001,191,68,45,300,110083,A15,Cabin Glass CG-20,Cabin,JCB,Medium,110015,109783,Overstock
P025,CHN001,300,112,85,564,110058,B12,Cabin Glass CG-20,Cabin,JCB,Medium,109946,109494,Overstock
P025,HYD001,83,26,21,133,113613,B16,Cabin Glass CG-20,Cabin,JCB,Medium,113587,113480,Overstock
P025,KOL001,290,113,84,499,110579,C08,Cabin Glass CG-20,Cabin,JCB,Medium,110466,110080,Overstock
P025,AHM001,165,64,44,328,97512,F08,Cabin Glass CG-20,Cabin,JCB,Medium,97448,97184,Overstock
P026,DEL001,96,28,22,186,103678,C13,Grease Cartridge GC-5,Lubricants,Generic,Low,103650,103492,Overstock
P026,PUN001,112,36,33,189,105190,B09,Grease Cartridge GC-5,Lubricants,Generic,Low,105154,105001,Overstock
P026,CHN001,113,36,33,181,108895,A03,Grease Cartridge GC-5,Lubricants,Generic,Low,108859,108714,Overstock
P026,HYD001,203,75,54,314,108348,E17,Grease Cartridge GC-5,Lubricants,Generic,Low,108273,108034,Overstock
P026,KOL001,240,74,59,445,101412,A06,Grease Cartridge GC-5,Lubricants,Generic,Low,101338,100967,Overstock
P026,AHM001,263,89,65,445,103793,E03,Grease Cartridge GC-5,Lubricants,Generic,Low,103704,103348,Overstock
P027,DEL001,98,31,26,193,106775,C04,O-Ring Set OR-50,Seals,Generic,Low,106744,106582,Overstock
P027,PUN001,214,70,58,376,112683,C02,O-Ring Set OR-50,Seals,Generic,Low,112613,112307,Overstock
P027,CHN001,84,33,19,133,97973,F12,O-Ring Set OR-50,Seals,Generic,Low,97940,97840,Overstock
P027,HYD001,123,46,29,211,104746,B02,O-Ring Set OR-50,Seals,Generic,Low,104700,104535,Overstock
P027,KOL001,210,79,54,385,100477,F20,O-Ring Set OR-50,Seals,Generic,Low,100398,100092,Overstock
P027,AHM001,151,51,33,294,108337,F10,O-Ring Set OR-50,Seals,Generic,Low,108286,108043,Overstock
P028,DEL001,207,81,58,353,106744,C01,Light Assembly LA-18,Electrical,Generic,Medium,106663,106391,Overstock
P028,PUN001,279,100,56,522,105401,B17,Light Assembly LA-18,Electrical,Generic,Medium,105301,104879,Overstock
P028,CHN001,120,43,29,198,103464,E04,Light Assembly LA-18,Electrical,Generic,Medium,103421,103266,Overstock
P028,HYD001,129,47,37,199,102248,E08,Light Assembly LA-18,Electrical,Generic,Medium,102201,102049,Overstock
P028,KOL001,254,76,75,437,104851,B09,Light Assembly LA-18,Electrical,Generic,Medium,104775,104414,Overstock
P028,AHM001,212,78,57,368,101538,F04,Light Assembly LA-18,Electrical,Generic,Medium,101460,101170,Overstock
P029,DEL001,98,33,27,174,108622,E17,Pressure Sensor PS-90,Sensors,CAT,Medium,108589,108448,Overstock
P029,PUN001,115,40,28,225,109429,C10,Pressure Sensor PS-90,Sensors,CAT,Medium,109389,109204,Overstock
P029,CHN001,97,33,27,173,101572,F11,Pressure Sensor PS-90,Sensors,CAT,Medium,101539,101399,Overstock
P029,HYD001,192,76,55,324,112739,F08,Pressure Sensor PS-90,Sensors,CAT,Medium,112663,112415,Overstock
P029,KOL001,150,57,40,299,105010,F06,Pressure Sensor PS-90,Sensors,CAT,Medium,104953,104711,Overstock
P029,AHM001,140,49,40,267,97606,D10,Pressure Sensor PS-90,Sensors,CAT,Medium,97557,97339,Overstock
P030,DEL001,184,64,53,336,103131,E17,Fuel Pump FP-350,Engine,Volvo,High,103067,102795,Overstock
P030,PUN001,147,52,35,283,112388,A05,Fuel Pump FP-350,Engine,Volvo,High,112336,112105,Overstock
P030,CHN001,125,46,28,246,105447,F19,Fuel Pump FP-350,Engine,Volvo,High,105401,105201,Overstock
P030,HYD001,162,53,40,268,104611,D14,Fuel Pump FP-350,Engine,Volvo,High,104558,104343,Overstock
P030,KOL001,199,73,43,365,103465,C10,Fuel Pump FP-350,Engine,Volvo,High,103392,103100,Overstock
P030,AHM001,134,46,40,231,103248,D06,Fuel Pump FP-350,Engine,Volvo,High,103202,103017,Overstock
